Artist,Birth,Death,Art Title,DoC,Estimate,price,Dimentions,close date,Auction Title
A MAHOGANY OPEN BOOKCASE,96,leaf,"FIRST HALF 19TH CENTURY, ADAPTED",0,"GBP 2,000 – GBP 3,000","GBP 4,000",0,17 Aug 2016,"2016 | LIVE AUCTION 12039
INTERIORS"
Moise Kisling ,1891,1953,Nu,1931,"USD 40,000 – USD 60,000","USD 81,250",(73 x 54 cm.),17 Nov 2016,"2016 | LIVE AUCTION 12147
IMPRESSIONIST & MODERN ART DAY SALE"
George Edward Lodge ,1860,1954,Golden eagle on a branch,0,"GBP 1,200 - GBP 1,800","GBP 2,125",(34.6 x 24.7 cm.),18 Dec 2017,"4 Dec - 18 Dec 2017 | Online Auction 15547
The Astor Collection from Tillypronie, Aberdeenshire"
Helen Frankenthaler ,1928,2011,Cinnamon Burn,1968,"USD 300,000 – USD 500,000","USD 663,750",(304.8 x 208.2 cm.),16 May 2013,"2013 | LIVE AUCTION 2786
POST-WAR & CONTEMPORARY MORNING SESSION"
"Sir John Alfred Arnesby Brown, R.A. ",1866,1955,"The Round Tower, Haddiscoe",0,"GBP 12,000 – GBP 18,000","GBP 21,250",(66 x 91.4 cm.),13 Dec 2012,"2012 | LIVE AUCTION 5969
VICTORIAN & BRITISH IMPRESSIONIST ART"
Raymond Pettibon ,1957,0,Untitled (But come up),1987,"GBP 3,000 - GBP 5,000","GBP 7,500",(35.3 x 27.7cm.),20 Sep 2018,"12 Sep - 20 Sep 2018 | Online Auction 16454
First Open Online"
Keltie Ferris ,1977,0,Ghost Trees,2018,"USD 30,000 – USD 50,000","USD 50,000",(182.9 x 152.4 cm.),27 Sep 2018,"2018 | LIVE AUCTION 15877
POST-WAR TO PRESENT"
A BÖTTGER RED STONEWARE JEWELLED AND ENAMELLED COFFEE-POT AND COVER,15,section,1710-1711,0,"GBP 30,000 - GBP 50,000","GBP 225,000",0,16 Nov 2021,"2 Nov - 16 Nov 2021 | Online Auction 19968
The Collector"
JAN DERK HUIBERS ,0,0,Cup of warmth,0,"GBP 2,000 - GBP 3,000","GBP 6,000",(77.5 x 61.5 cm.),16 Dec 2021,"2 Dec - 16 Dec 2021 | Online Auction 20112
British and European Art"
Robert Rauschenberg ,1925,2008,Calendar,1962,"USD 3,000,000 – USD 5,000,000","USD 2,741,000",(243.8 x 152.4 cm.),13 May 2015,"2015 | LIVE AUCTION 3740
POST-WAR AND CONTEMPORARY ART EVENING SALE"
Rembrandt Harmensz. van Rijn ,1606,1669,"Christ and the Woman of Samaria: an Arched print (Bartsch, Hollstein 70; Hind 294; New Hollstein 302)",70,"GBP 1,000 – GBP 1,500","GBP 1,375",0,4 Dec 2013,"2013 | LIVE AUCTION 9728
500 YEARS OF PRINTMAKING"
WILLIAM EGGLESTON ,0,0,"Untitled, 1970s",0,"USD 12,000 – USD 18,000","USD 11,875",(18.4 x 28 cm.),5 Oct 2018,"2018 | LIVE AUCTION 16382
PHOTOGRAPHS"
"George Howard, 9th Earl of Carlisle ",1843,1911,Study of a standing draped female figure,0,"GBP 1,000 – GBP 1,500","GBP 1,875",(31.1 x 15 cm.),13 Dec 2017,"2017 | LIVE AUCTION 14233
VICTORIAN PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART"
Karel Appel ,1921,2006,Tétes dans Tempête (Heads in the Tempest),1960,"EUR 120,000 – EUR 160,000","EUR 137,500",0,24 Apr 2018,"2018 | LIVE AUCTION 15805
POST-WAR AND CONTEMPORARY ART"
Floris van Schooten ,0,0,"Cherries, gooseberries, redcurrants, blackcurrants and strawberries on a stone ledge",0,"EUR 10,000 – EUR 15,000","EUR 15,000",0,18 Nov 2015,"2015 | LIVE AUCTION 3058
OLD MASTERS & 19TH CENTURYART - (INCLUDING DUTCH IMPRESSIONISM)"
Alberto Giacometti ,1901,1966,Femme assise et verre à pied,0,"EUR 20,000 – EUR 30,000","EUR 39,900",0,31 Mar 2016,"2016 | LIVE AUCTION 12610
OEUVRES MODERNES SUR PAPIER"
Lucebert ,1924,1994,Untitled,0,"EUR 4,000 - EUR 6,000","EUR 6,930",0,26 Apr 2022,"12 Apr - 26 Apr 2022 | Online Auction 20823
20th/21st Century: Amsterdam"
Adam Colonia ,Rotterdam,1685,The Annunciation to the Shepherds,0,"EUR 4,000 – EUR 6,000","EUR 5,000",0,14 May 2014,"2014 | LIVE AUCTION 3047
OLD MASTERS, 19TH CENTURY AND IMPRESSIONIST ART"
"English School, 20th Century",87,quarter,"Portrait of a lady, three-quarter-length, in a white smock, her hands in her pockets",0,"GBP 1,000 – GBP 1,500","GBP 15,000",(87.5 x 58.5 cm.),18 Dec 2012,"2012 | LIVE AUCTION 4079
PETER LANGAN: A LIFE WITH ART"
Cornelius Jonson van Ceulen  and Studio,London,1661,"Portrait of a gentleman, possibly Philip Herbert, 1st Earl of Montgomery and 4th Earl of Pembroke (1584-1650), bust-length, with a lace collar and wearing the badge and star of the Order of the Garter, in a feigned oval",0,"GBP 3,000 – GBP 5,000","GBP 3,250",(74.9 x 62.2 cm.),29 Oct 2015,"2015 | LIVE AUCTION 10451
OLD MASTER & BRITISH PAINTINGS"
Follower of Adriaen Isenbrandt,0,0,The Virgin and Child,0,"GBP 8,000 – GBP 12,000","GBP 21,250",(99 x 70.5 cm.),23 Mar 2017,"2017 | LIVE AUCTION 14193
ROBERT DE BALKANY ROME & THE CÔTE D'AZUR"
Odilon Redon ,1840,1916,Visage-Germination,1888,"USD 100,000 – USD 150,000","USD 233,000",(52.5 x 37.2 cm.),5 Nov 2013,"2013 | LIVE AUCTION 3443
A DIALOGUE THROUGH ART: WORKS FROM THE JAN KRUGIER COLLECTION DAY SALE"
Jack Whitten ,1939,2018,Virgin Space Loop #19,2012,"USD 60,000 – USD 80,000","USD 87,500",(30.5 x 30.5 cm.),16 May 2019,"2019 | LIVE AUCTION 16979
POST-WAR AND CONTEMPORARY ART AFTERNOON SESSION"
ILSE BING ,0,0,"Two street fair views, Paris, 1933",0,"USD 4,000 - USD 6,000","USD 2,500",(28.2 x 19.6 cm.),7 Dec 2017,"29 Nov - 7 Dec 2017 | Online Auction 15575
MoMA: Women in Photography"
Nicolas Party ,1980,0,Still Life No 103,2012,"GBP 2,000 – GBP 3,000","GBP 8,500",(16.5 x 22.2cm.),28 Jun 2018,"2018 | LIVE AUCTION 15893
POST-WAR TO PRESENT"
Samuel Holburn Fyfe ,1822,1905,The clipper John R. Worcester outward-bound from the Clyde off Pladda Island,0,"GBP 2,500 – GBP 3,500","GBP 3,125",(71 x 111.8 cm.),5 Jun 2014,"2014 | LIVE AUCTION 5317
MARITIME ART"
A PAIR OF ITALIAN SILVERED AND GILT-METAL BUSTS OF TROJAN WARRIORS,0,0,20TH CENTURY,0,"GBP 800 - GBP 1,200","GBP 1,000",0,16 Nov 2021,"2 Nov - 16 Nov 2021 | Online Auction 19968
The Collector"
"JOHN FERNELEY, SEN. ",BRITISH,1860,"Master John Marriott on a grey horse, with his sister Annis and their dogs outside the Elms, Cropwell Butler",0,"GBP 20,000 - GBP 30,000","GBP 27,500",(78.8 x 95.9 cm.),29 Jul 2020,"7 Jul - 29 Jul 2020 | Online Auction 18829
British & European Art"
Pedro Friedeberg ,1936,0,Pair of Hand Chairs,0,"USD 15,000 - USD 20,000","USD 18,750",(86.4 x 48.3 x 50.8 cm.),30 May 2018,"18 May - 30 May 2018 | Online Auction 15729
Latin American Art Online"
No Name,0,0,No Name,0,0,0,0,0,0
Gunther Gerzso ,1915,2000,Trópico calizo,1992,"USD 70,000 – USD 90,000","USD 137,500",(81.3 x 100.3 cm.),30 Jul 2020,"2020 | LIVE AUCTION 18183
LATIN AMERICAN ART"
BRASSAÏ ,1899,1950,"Graffiti (Serie IV, Masques et Visages), 1935-1950",0,"USD 10,000 - USD 15,000","USD 18,750",(40 x 30.4 cm.),14 Oct 2020,"5 Oct - 14 Oct 2020 | Online Auction 19790
The Unseen Eye: Photographs from the W.M. Hunt Collection"
ANDY WARHOL ,1928,1987,Marilyn Monroe (Marilyn): one print,0,"USD 100,000 – USD 150,000","USD 187,500",(914 x 914 mm.),22 Oct 2021,"2021 | LIVE AUCTION 19997
PRINTS & MULTIPLES"
ARMAN ,1928,2005,Sans titre,0,"EUR 1,200 – EUR 1,800",EUR 750,(13 5/8 x 21¼ in.),26 Oct 2013,"2013 | LIVE AUCTION 3536
DAGNY ET JAN RUNNQVIST, GALERIE BONNIER, UN DEMI-SIÈCLE DE PASSION ET D'ENGAGEMENTS ARTISTIQUES"
ANDY WARHOL ,1928,1987,Marilyn Monroe (Marilyn): one print,0,"USD 80,000 – USD 120,000","USD 100,000",(914 x 914 mm.),23 Oct 2019,"2019 | LIVE AUCTION 17127
PRINTS & MULTIPLES"
Pablo Picasso ,1881,1973,Verve,0,"USD 30,000 – USD 50,000","USD 68,750",(35.6 x 26.5 cm.),16 May 2018,"2018 | LIVE AUCTION 15972
IMPRESSIONIST AND MODERN ART WORKS ON PAPER"
"ENGLISH SCHOOL, CIRCA 1600",110,quarter,"Portrait of a getleman, traditionally identified as a member of the Pepys family, three-quarter-length, in an embroidered doublet",0,"GBP 3,000 - GBP 5,000","GBP 12,500",(110.5 x 87.6 cm.),17 Dec 2020,"26 Nov - 17 Dec 2020 | Online Auction 18877
Old Master Paintings & Sculpture Online"
Walter Leblanc ,1932,1986,Twisted Strings TX. 171,1971,"EUR 70,000 – EUR 90,000","EUR 83,750",0,1 May 2019,"2019 | LIVE AUCTION 17372
POST-WAR & CONTEMPORARY ART"
"Italian School, circa 1600",0,0,"Portrait of a lady, possibly of the Della Rovere family",0,"USD 8,000 – USD 12,000","USD 16,250",(100.9 x 76.2 cm.),31 Jan 2013,"2013 | LIVE AUCTION 2676
OLD MASTER PAINTINGS PART II"
Bernard Buffet ,1928,1999,Compotier sur un plateau,1991,"GBP 60,000 – GBP 80,000","GBP 73,250",(73 x 92 cm.),21 Jun 2012,"2012 | LIVE AUCTION 5472
IMPRESSIONIST/MODERN DAY SALE"
Jean Paul Riopelle ,1923,2002,P.M.12,1960,"EUR 50,000 – EUR 70,000","EUR 567,000",0,13 Apr 2022,"APRIL 13 | LIVE AUCTION 21429
COLLECTION JACQUELINE MATISSE MONNIER"
Gavin Turk ,1967,0,Cave,1997,"GBP 40,000 – GBP 60,000","GBP 50,000",(on the reverse),30 Jun 2016,"2016 | LIVE AUCTION 11798
POST-WAR AND CONTEMPORARY ART DAY AUCTION"
KATHERINE BERNHARDT ,0,0,Female Obsession Night Naked,2005,"GBP 6,000 - GBP 8,000","GBP 23,750",(80 x 120cm.),7 Jul 2021,"24 Jun - 7 Jul 2021 | Online Auction 19114
First Open: Post-War and Contemporary Art Online"
